Month,Outlier_Type,Box_Index,Box_Time,SW_Corner_X,SW_Corner_Y,Value
4,RMSE,2642,2022-04-21 10:51:48,557050,324050,4.783196027643006
4,RMSE,2730,2015-04-23 11:09:05,337050,678050,6.621951152478201
4,RMSE,2814,2021-04-23 11:09:21,326050,677050,6.457460117975125
4,RMSE,2995,2019-04-18 11:09:10,419050,549050,4.587873016976567
4,RMSE,3117,2022-04-10 11:09:33,406050,535050,9.97721270773166
4,RMSE,3142,2015-04-23 11:09:29,319050,384050,4.593338630590208
4,RMSE,3192,2021-04-23 11:09:45,336050,385050,4.8843375041481885
4,RMSE,3193,2021-04-23 11:09:45,319050,392050,7.0475672737833115
4,RMSE,3194,2021-04-23 11:09:45,319050,402050,6.86409138013819
4,RMSE,4135,2016-04-11 10:57:47,481050,377050,7.683411242151225
4,RMSE,4136,2016-04-11 10:57:47,479050,387050,6.283267176679627
4,RMSE,4137,2016-04-11 10:57:47,481050,399050,6.9027324598417446
4,RMSE,4224,2019-04-20 10:57:36,489050,394050,4.470606740684162
